year,dunsno,companyname,citycode,streetaddress,city,state,zipcode,zipcode4,yearstarted,sls,slscode,employeesthissite,employeesthissitecode,employeesallsites,employeesallsitescode,sic1,sic2,status,subsidiaryindicator,manufacturing,transactioncode,reportdate,description,sls2018,sls2019,sls2020,sls2021,sls2022,lat,lon,bikestreet,plannedbike,bikes
2023,19535404,PACK SQUARE 1004 LLC,439,21 BILTMORE AVE UNIT 201,ASHEVILLE,NC,28801,3681,2019,94459,2,7,2,7,2,9999,2222,0,0,1,2,230827,Nonclassifiable establishments,,94459,94459,94459,94459,35.569621,-82.544629,1,1,0
2023,72701023,WINTERS HAVEN LLC,439,21 BILTMORE AVE UNIT 201,ASHEVILLE,NC,28801,3681,2021,94459,2,7,2,7,2,9999,2222,0,0,1,2,230827,Nonclassifiable establishments,,,,,94459,35.569621,-82.544629,1,1,0
2023,72716994,LTV MOBILE LLC,439,21 BILTMORE AVE UNIT 201,ASHEVILLE,NC,28801,3681,2020,94459,2,7,2,7,2,9999,2222,0,0,1,2,230625,Nonclassifiable establishments,,,,,94459,35.569621,-82.544629,1,1,0
2023,73449943,GLOBAL GOURMET CONSULTING LLC,439,21 BILTMORE AVE UNIT 201,ASHEVILLE,NC,28801,3681,2012,31116,2,1,2,1,2,8748,0,0,0,1,3,230827,"Business consulting, nec",,,,,28287,35.569621,-82.544629,1,1,0
2023,42310602,SPECIALIZED COMPUTER SERVICES,439,60 BILTMORE AVE STE 1C2,ASHEVILLE,NC,28801,3669,1998,78542,2,1,0,1,0,7379,200,0,0,1,3,210719,"Computer related services, nec",85978,85978,78542,78542,78542,35.569621,-82.544629,1,1,0
2023,57005612,DOWNTOWN ASHEVILLE LLC,439,52 BILTMORE AVE APT 402,ASHEVILLE,NC,28801,3627,2018,101829,2,4,2,4,2,5813,100,0,0,1,3,231112,Drinking places,94459,94459,101829,101829,101829,35.569621,-82.544629,1,1,0
2023,108342665,ASHEVLLE POLICE FOUNDATION INC,439,16 BILTMORE AVE STE 200,ASHEVILLE,NC,28801,3617,2016,60460,2,2,2,2,2,6732,0,0,0,1,2,231126,"Trusts: educational, religious, etc.",,60460,60460,60460,60460,35.569621,-82.544629,1,1,0
2023,81510667,SAMSEL ARCHITECTS PA,439,60 BILTMORE AVE STE 240,ASHEVILLE,NC,28801,3644,2016,1172430,2,14,0,14,0,8712,101,0,0,1,3,231203,Architectural services,137338,423584,1164797,1164797,1164797,35.569621,-82.544629,1,1,0
2023,100535454,LOLA,439,60 BILTMORE AVE STE 2A,ASHEVILLE,NC,28801,3667,2001,118811,2,5,0,5,0,7231,9901,0,0,1,3,231022,Beauty shops,118811,118811,118811,118811,118811,35.569621,-82.544629,1,1,0
2023,65505066,WOOD AVE LLC,439,21 BILTMORE AVE UNIT 301,ASHEVILLE,NC,28801,3682,2020,212495,2,3,2,3,2,6512,0,0,0,1,3,231208,Nonresidential building operators,,,94459,94459,94459,35.569621,-82.544629,1,1,0
2023,73584499,SOUTHEAST HEMP ASSOCIATION INC,439,21 BILTMORE AVE UNIT 102,ASHEVILLE,NC,28801,3680,2014,94459,2,7,2,7,2,9999,2222,0,0,1,3,231119,Nonclassifiable establishments,,,,,94459,35.569621,-82.544629,1,1,0
2023,51925970,MEADOW RUN AVL LLC,439,21 BILTMORE AVE UNIT 201,ASHEVILLE,NC,28801,3681,2018,160952,2,3,2,3,2,6512,0,0,0,1,3,231211,Nonresidential building operators,94459,94459,94459,94459,94459,35.569621,-82.544629,1,1,0
2023,100439478,LOTUS HERBAN SPA LLC,439,60 BILTMORE AVE STE 2A,ASHEVILLE,NC,28801,3667,2019,49194,2,3,2,3,2,7299,0,0,0,1,3,231015,Miscellaneous personal services,,94459,94459,92356,49194,35.569621,-82.544629,1,1,0
2023,30320492,ADAPT PUBLIC RELATIONS LLC,439,21 BILTMORE AVE UNIT 102,ASHEVILLE,NC,28801,3680,2016,39623,2,1,2,1,2,8743,0,0,0,1,3,231210,Public relations services,,,,,39623,35.569621,-82.544629,1,1,0
2023,25964582,DESIGN STUDIO ASHEVILLE LLC,439,60 BILTMORE AVE STE 230,ASHEVILLE,NC,28801,3666,2019,27976,2,1,2,1,2,7389,1800,0,0,1,2,191101,"Business services, nec",,27976,27976,27976,27976,35.569621,-82.544629,1,1,0
2023,31648650,FORRESTAL INC,439,21 BILTMORE AVE UNIT 304,ASHEVILLE,NC,28801,3682,2016,94459,2,7,2,7,2,9999,2222,0,0,1,2,191122,Nonclassifiable establishments,,94459,94459,94459,94459,35.569621,-82.544629,1,1,0
2023,14774425,RIVER ROW FLATS INC,439,60 BILTMORE AVE STE 210,ASHEVILLE,NC,28801,3643,2019,150760,2,7,2,7,2,7011,300,0,0,1,3,231126,Hotels and motels,,94459,94459,94459,94459,35.569621,-82.544629,1,1,0
2023,90118377,MY EYE DR OPTOMETRISTS LLC,439,417 BILTMORE AVE BLDG 4,ASHEVILLE,NC,28801,4501,,0,,1,2,0,,8042,100,2,0,1,3,231126,Offices and clinics of optometrists,,,54132,54132,0,35.575479,-82.547277,1,1,0
2023,20646938,LANIER LAW GROUP PA,439,603 BILTMORE AVE,ASHEVILLE,NC,28801,4605,2020,62616,2,2,2,2,2,8111,9902,0,0,1,3,231119,Legal services,,,62616,62616,62616,35.575479,-82.547277,1,1,0
2023,77410935,KIEFFER HENRI LG MD,439,534 BILTMORE AVE,ASHEVILLE,NC,28801,4610,2015,72050,2,3,2,3,2,8011,519,0,0,1,3,230918,Offices and clinics of medical doctors,65500,72050,72050,72050,72050,35.57601,-82.546506,1,1,0
2023,93346187,ARA HEALTH SPECIALISTS PA,439,534 BILTMORE AVE,ASHEVILLE,NC,28801,4610,1970,16015455,2,83,2,150,0,8011,519,1,0,1,3,230403,Offices and clinics of medical doctors,19248752,19287706,19287706,19287706,17794950,35.57601,-82.546506,1,1,0
2023,13790508,ST JOSEPH CAMPUS GIFT SHOP,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2010,65883,2,3,0,3,0,5947,104,0,0,1,3,231119,"Gift, novelty, and souvenir shop",65883,65883,65883,65883,65883,35.5766889,-82.54922486,1,1,0
2023,29716117,CHARLY MICHAEL LECROY MD,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2010,138423,2,3,2,3,2,8011,514,0,0,1,3,231105,Offices and clinics of medical doctors,131594,138423,138423,138423,138423,35.5766889,-82.54922486,1,1,0
2023,60007295,MISSION HLTHCARE FUNDATION INC,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2019,35206,2,3,2,3,2,8641,0,0,0,1,2,230521,Civic and social associations,,35206,35206,35206,35206,35.5766889,-82.54922486,1,1,0
2023,118147097,ANC HEALTHCARE INC,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,,0,,8,2,0,,8062,0,2,0,1,2,230903,General medical and surgical hospitals,,,,0,0,35.5766889,-82.54922486,1,1,0
2023,80942909,WNC CARESOURCE LLC,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2017,40656,2,1,2,1,2,8062,0,0,3,1,3,210606,General medical and surgical hospitals,30545,36960,36960,40656,40656,35.5766889,-82.54922486,1,1,0
2023,9990681,ROBERSON JAMES R MD,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2018,54132,2,3,2,3,2,8011,0,0,0,1,2,230820,Offices and clinics of medical doctors,54132,54132,54132,54132,54132,35.5766889,-82.54922486,1,1,0
2023,117038821,MH MISSION HOSPITAL LLLP,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2018,7057511,2,99,0,99,0,8062,0,0,3,1,3,231105,General medical and surgical hospitals,,379520,7057511,7057511,7057511,35.5766889,-82.54922486,1,1,0
2023,74526690,MISSION HOSPITAL INC,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,1951,1267230070,0,3000,0,10000,0,8062,0,1,3,1,3,231102,General medical and surgical hospitals,1019545591,917591032,865403123,29508567,1027208460,35.5766889,-82.54922486,1,1,0
2023,40975277,PRIMEDOC OF ASHEVILLE,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2010,220000,2,3,2,3,2,8011,205,0,0,1,3,141022,Offices and clinics of medical doctors,,,,220000,220000,35.5766889,-82.54922486,1,1,0
2023,94957551,SCHNEIDER ALEXANDER T MD,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2019,91100,2,2,2,2,2,8011,9901,0,0,1,3,230910,Offices and clinics of medical doctors,,94459,91100,91100,91100,35.5766889,-82.54922486,1,1,0
